Date (UTC),179_to_181.delta,180.2_to_181.delta,180_to_181.delta,MacVim.dmg,MacVim_10.9.dmg
2025-02-21 08:24:50,13,4,281,77,6
2025-02-22 03:53:31,119,35,2936,909,26
2025-02-23 03:53:23,165,51,4101,1494,40
2025-02-24 03:53:21,228,57,5041,1968,59
2025-02-25 03:53:14,297,65,6638,2499,74
2025-02-26 03:53:18,364,69,7767,2940,88
2025-02-27 03:53:15,422,71,8631,3381,93
2025-02-28 03:53:17,470,79,9346,3794,109
2025-03-01 03:53:12,506,82,9884,4109,117
2025-03-02 03:53:15,534,82,10202,4366,122
2025-03-03 03:54:08,571,83,10533,4630,128
2025-03-04 03:53:26,614,84,11093,4978,139
2025-03-05 03:53:25,665,87,11541,5331,149
2025-03-06 03:53:24,709,89,11932,5710,160
2025-03-07 03:53:13,763,93,12296,6076,169
2025-03-08 03:53:24,800,93,12599,6362,175
2025-03-09 03:53:32,829,93,12775,6605,183
2025-03-10 03:53:22,862,94,12978,6852,195
2025-03-11 03:53:18,897,96,13302,7177,211
2025-03-12 03:53:22,934,99,13592,7510,218
2025-03-13 03:55:14,970,102,13873,7824,231
2025-03-14 03:54:41,1014,103,14139,8180,241
2025-03-15 03:53:18,1038,104,14378,8470,251
2025-03-16 03:54:21,1061,105,14541,8736,263
2025-03-17 03:54:56,1088,105,14687,8949,270
2025-03-18 03:54:21,1127,106,14926,9222,286
2025-03-19 03:53:43,1164,106,15159,9571,299
2025-03-20 03:53:36,1200,106,15358,9897,308
2025-03-21 03:55:07,1231,106,15526,10195,320
2025-03-22 03:54:10,1263,106,15683,10466,329
2025-03-23 03:54:18,1283,106,15784,10665,333
2025-03-24 03:55:11,1309,107,15898,10886,338
2025-03-25 03:54:43,1343,107,16092,11183,348
2025-03-26 03:54:01,1376,108,16253,11503,369
2025-03-27 03:55:54,1413,108,16395,11804,383
2025-03-28 03:55:27,1442,108,16527,12094,390
2025-03-28 21:54:24,1461,109,16623,12298,400
2025-03-29 03:53:24,1464,109,16648,12354,401
2025-03-30 03:56:22,1486,110,16739,12555,413
2025-03-31 03:55:55,1511,111,16852,12770,422
2025-04-01 04:00:07,1538,111,16996,13057,430
2025-04-02 03:56:45,1562,111,17151,13326,441
2025-04-03 03:56:12,1583,111,17276,13588,452
2025-04-04 03:54:56,1596,111,17401,13877,467
2025-04-05 03:53:21,1619,111,17511,14150,473
2025-04-06 03:54:26,1639,112,17575,14357,485
2025-04-07 03:55:27,1656,112,17662,14553,493
2025-04-08 03:55:19,1689,112,17773,14825,509
2025-04-09 03:55:29,1713,113,17896,15116,524
2025-04-10 03:55:43,1745,113,18021,15446,535
2025-04-11 03:55:33,1766,113,18131,15722,549
2025-04-12 03:53:40,1791,114,18213,15964,559
2025-04-13 04:40:57,1810,114,18277,16149,564
2025-04-14 03:57:41,1831,114,18351,16353,571
2025-04-15 03:56:21,1850,115,18439,16596,578
2025-04-16 03:56:33,1871,115,18545,16870,587
2025-04-17 03:56:25,1896,115,18635,17156,595
2025-04-18 03:55:27,1920,115,18737,17397,608
2025-04-19 03:54:37,1943,115,18802,17605,614
2025-04-20 03:56:51,1960,115,18844,17770,621
2025-04-21 03:59:54,1976,115,18905,17979,626
2025-04-22 03:57:39,1993,115,18995,18247,633
2025-04-23 03:56:04,2019,115,19081,18504,642
2025-04-24 03:56:48,2043,115,19170,18776,645
2025-04-25 03:56:22,2058,115,19261,19020,653
2025-04-26 03:55:15,2085,115,19335,19258,666
2025-04-27 03:56:42,2108,115,19384,19432,673
2025-04-28 03:59:16,2128,115,19437,19655,684
