Date (UTC),163_to_164.delta,MacVim.dmg,MacVim_unsigned.dmg
2023-06-14 02:18:31,327,341,90
2023-06-14 03:53:15,327,341,90
2023-06-15 03:53:28,327,341,90
2023-06-16 03:53:35,327,341,90
2023-06-17 03:53:23,327,341,90
2023-06-18 03:53:21,327,341,90
2023-06-19 03:53:28,327,341,90
2023-06-20 03:53:15,327,341,90
2023-06-21 03:53:15,327,341,90
2023-06-22 03:53:29,327,341,90
2023-06-23 03:53:21,327,341,90
2023-06-24 03:53:35,327,341,90
2023-06-25 03:53:22,327,341,90
2023-06-26 03:53:20,327,341,90
2023-06-27 03:53:26,327,341,90
2023-06-28 03:53:27,327,341,90
