Date (UTC),178_to_180.delta,179.1_to_180.delta,179_to_180.delta,MacVim.dmg,MacVim_10.9.dmg
2024-09-11 09:33:47,0,1,0,5,2
2024-09-11 12:19:42,10,8,286,104,7
2024-09-11 22:32:32,64,24,2012,629,20
2024-09-12 03:53:23,77,27,2621,865,23
2024-09-13 03:53:17,154,52,4774,1600,38
2024-09-14 03:53:14,229,56,5967,2124,48
2024-09-15 03:53:24,250,59,6547,2472,64
2024-09-16 03:53:25,283,59,7052,2786,81
2024-09-17 03:53:21,315,65,8016,3204,93
2024-09-18 03:53:10,347,72,8794,3629,106
2024-09-19 03:53:18,388,75,9451,4095,112
2024-09-20 03:53:21,416,76,10075,4497,118
2024-09-21 03:53:29,444,79,10525,4833,132
2024-09-22 03:53:17,466,79,10771,5117,146
2024-09-23 03:53:25,482,80,11062,5402,155
2024-09-24 03:53:20,512,80,11569,5818,169
2024-09-25 03:53:14,537,80,11993,6178,176
2024-09-26 03:53:24,554,82,12372,6542,186
2024-09-27 03:53:20,577,82,12706,6896,200
2024-09-28 03:53:12,595,83,12981,7207,213
2024-09-29 03:53:13,603,85,13147,7436,218
2024-09-30 03:53:22,613,85,13331,7656,225
2024-10-01 03:54:36,632,86,13637,7946,229
2024-10-02 03:53:12,649,87,13911,8250,242
2024-10-03 03:53:17,669,87,14162,8567,249
2024-10-04 03:53:13,683,87,14403,8842,259
2024-10-05 03:53:21,701,87,14593,9112,268
2024-10-06 03:53:18,706,88,14724,9307,272
2024-10-07 03:53:12,713,88,14876,9520,278
2024-10-08 03:53:23,730,88,15117,9806,288
2024-10-09 03:53:15,745,89,15338,10124,301
2024-10-10 03:53:24,757,90,15561,10447,309
2024-10-11 03:53:20,771,90,15765,10726,323
2024-10-12 03:53:22,783,90,15939,11013,332
2024-10-13 03:53:26,797,90,16042,11223,340
2024-10-14 03:53:15,811,90,16159,11452,346
2024-10-15 03:53:13,826,90,16349,11759,355
2024-10-16 03:53:20,849,95,16528,12067,366
2024-10-17 03:53:18,867,97,16676,12368,372
2024-10-18 03:53:11,877,97,16829,12699,381
2024-10-19 03:53:34,889,97,16990,12962,391
2024-10-20 03:53:14,903,98,17091,13162,398
2024-10-21 03:53:23,918,98,17197,13379,404
2024-10-22 03:53:11,931,98,17365,13671,415
2024-10-23 03:53:30,941,99,17508,13971,424
2024-10-24 03:53:13,952,99,17649,14266,432
2024-10-25 03:53:31,968,99,17803,14572,446
2024-10-26 03:53:12,974,99,17909,14795,459
2024-10-27 03:53:12,984,99,17981,14983,468
2024-10-28 03:53:18,989,99,18054,15182,479
2024-10-29 03:53:18,1004,100,18174,15443,495
2024-10-30 03:53:17,1019,100,18302,15757,506
2024-10-31 03:53:21,1029,100,18438,16061,515
2024-11-01 03:54:52,1041,100,18535,16365,521
2024-11-02 03:53:23,1051,101,18622,16612,531
2024-11-03 03:53:25,1056,101,18702,16805,537
2024-11-04 03:53:13,1069,101,18770,16974,543
2024-11-05 03:53:21,1082,102,18862,17250,553
2024-11-06 03:53:25,1092,102,18957,17531,555
2024-11-07 03:53:14,1101,102,19064,17806,562
2024-11-08 03:53:15,1112,102,19174,18078,573
2024-11-09 03:53:14,1122,102,19258,18368,587
2024-11-10 03:53:12,1129,102,19318,18563,593
2024-11-11 03:53:13,1134,103,19402,18776,605
2024-11-12 03:53:25,1145,103,19490,19075,619
2024-11-13 03:53:15,1159,104,19594,19380,633
2024-11-14 03:53:24,1170,105,19687,19695,642
