Date (UTC),172_to_173.delta,MacVim.dmg
2023-06-14 02:18:31,18867,40304
2023-06-14 03:53:15,18867,40304
2023-06-15 03:53:28,18867,40304
2023-06-16 03:53:35,18867,40305
2023-06-17 03:53:23,18867,40306
2023-06-18 03:53:21,18867,40306
2023-06-19 03:53:28,18867,40309
2023-06-20 03:53:15,18867,40310
2023-06-21 03:53:15,18867,40310
2023-06-22 03:53:29,18867,40310
2023-06-23 03:53:21,18867,40310
2023-06-24 03:53:35,18867,40310
2023-06-25 03:53:22,18867,40310
2023-06-26 03:53:20,18867,40310
2023-06-27 03:53:26,18867,40310
2023-06-28 03:53:27,18867,40310
2023-06-29 03:53:16,18867,40310
2023-06-30 03:53:34,18867,40310
2023-07-01 03:53:24,18867,40310
2023-07-02 03:53:17,18867,40310
2023-07-03 03:53:27,18867,40310
2023-07-04 03:53:22,18867,40310
2023-07-05 03:53:28,18867,40310
2023-07-06 03:53:38,18867,40310
2023-07-07 03:53:16,18867,40310
2023-07-08 03:53:27,18867,40310
2023-07-09 03:53:32,18867,40310
2023-07-10 05:22:22,18867,40310
2023-07-10 07:42:15,18867,40310
2023-07-10 08:00:00,18867,40310
2023-07-10 13:17:40,18867,40310
2023-07-10 17:20:16,18867,40310
2023-07-11 03:53:18,18867,40310
2023-07-11 08:10:13,18867,40310
2023-07-11 12:28:38,18867,40310
2023-07-12 00:38:47,18867,40310
2023-07-12 03:53:17,18867,40310
2023-07-12 09:33:32,18867,40310
2023-07-12 13:31:16,18867,40310
